,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1000,0.0,,,,0.0,0.0
1011,0.0,,,,0.0,0.0
1015,11.0,,,,11.0,0.0
1048,4.94,,,,4.94,0.0
1051,4.34,,,,4.34,0.0
1054,0.0,,,,0.0,0.0
1059,0.0,,,,0.0,0.0
1062,1.0,,10.33,,5.665,4.665
1065,1.0,,,,1.0,0.0
1072,0.0,,,,0.0,0.0
1073,9.0,,,,9.0,0.0
1080,7.53,,,,7.53,0.0
1108,0.0,,0.0,8.92,2.973333333333333,4.204928325456003
1118,5.82,,,,5.82,0.0
1131,0.0,,,,0.0,0.0
1134,2.0,,,,2.0,0.0
1141,0.0,,,,0.0,0.0
1146,8.0,,0.0,,4.0,4.0
1178,5.32,,0.0,,2.66,2.66
1215,9.73,5.27,,,7.5,2.2300000000000004
1217,3.0,,,,3.0,0.0
1220,1.0,,,,1.0,0.0
1226,1.0,,,,1.0,0.0
1235,10.0,,,,10.0,0.0
1237,0.0,11.0,,,5.5,5.5
1239,10.4,,,,10.4,0.0
1248,9.24,,,,9.24,0.0
1269,5.85,,,,5.85,0.0
1294,0.0,11.56,,,5.78,5.78
1296,0.0,,,0.0,0.0,0.0
1340,0.0,,,,0.0,0.0
1365,0.0,,,,0.0,0.0
1367,0.0,,,,0.0,0.0
1375,9.0,,,,9.0,0.0
1380,4.0,,,,4.0,0.0
1382,7.18,,11.0,,9.09,1.9100000000000001
1387,0.0,,,,0.0,0.0
1411,0.0,,,,0.0,0.0
1412,1.0,,,,1.0,0.0
1416,0.0,,,,0.0,0.0
1433,2.19,,,,2.19,0.0
1440,9.38,,,0.0,4.69,4.69
1490,0.0,,,,0.0,0.0
1520,8.05,,,,8.05,0.0
1528,0.0,,,,0.0,0.0
1535,0.0,,0.0,,0.0,0.0
1543,0.0,,,,0.0,0.0
1561,0.0,,,,0.0,0.0
1582,7.53,,,,7.53,0.0
1594,0.0,,,,0.0,0.0
1605,8.9,,,,8.9,0.0
1611,0.0,1.0,0.0,,0.3333333333333333,0.4714045207910317
1615,0.0,,,22.98,11.49,11.49
1619,0.0,,,,0.0,0.0
1646,10.53,,,,10.53,0.0
1654,2.0,,,1.0,1.5,0.5
1658,1.0,0.0,,,0.5,0.5
1681,11.0,,,,11.0,0.0
1730,0.0,0.0,,,0.0,0.0
1734,0.0,,,,0.0,0.0
1738,7.0,,,,7.0,0.0
1759,3.0,,,,3.0,0.0
1793,1.0,,,,1.0,0.0
1794,3.0,,,,3.0,0.0
1797,1.0,,,,1.0,0.0
1813,12.15,,,,12.15,0.0
1824,2.0,,,0.0,1.0,1.0
1825,1.0,2.0,,,1.5,0.5
1831,0.0,,,,0.0,0.0
1857,1.0,1.0,,,1.0,0.0
1859,2.0,,,,2.0,0.0
1879,11.17,,,,11.17,0.0
1903,0.3,,,,0.3,0.0
1923,3.0,,0.0,,1.5,1.5
1952,13.0,,,,13.0,0.0
2000,10.79,,,,10.79,0.0
2012,1.0,,,,1.0,0.0
2019,0.0,,,,0.0,0.0
2034,8.92,,,,8.92,0.0
2039,0.0,,,,0.0,0.0
2063,6.22,,,0.0,3.11,3.11
2067,1.0,,,,1.0,0.0
2082,12.0,,,,12.0,0.0
2095,7.11,,,,7.11,0.0
2096,6.7,,,,6.7,0.0
2098,6.78,,,,6.78,0.0
2144,11.0,,,,11.0,0.0
2183,7.0,,,,7.0,0.0
2191,6.85,,,,6.85,0.0
2211,11.0,,,,11.0,0.0
2213,11.0,,,,11.0,0.0
2223,9.6,,,,9.6,0.0
2228,10.63,,,,10.63,0.0
2232,0.0,,,,0.0,0.0
2233,0.0,,0.0,,0.0,0.0
2234,0.0,,,,0.0,0.0
2268,11.0,,,0.0,5.5,5.5
2269,0.0,,,,0.0,0.0
2297,10.0,8.0,,,9.0,1.0
2305,11.68,,,,11.68,0.0
2320,0.0,,,,0.0,0.0
2328,0.0,,,,0.0,0.0
